CustomerID,Age,Gender,City,TenureYears,AnnualIncomePKR,AccountBalancePKR,CreditScore,NumProducts,MonthlyTransactions,DigitalBankingUser,ActiveMember,Churned
C10034,30,Male,Lahore,0,1894000,1233000,567,3,22,No,Yes,No
C10035,46,Male,Rawalpindi,6,2271000,1455000,582,1,11,No,No,No
C10036,51,Male,Peshawar,3,2327000,940000,610,1,22,Yes,Yes,Yes
C10037,38,Male,Lahore,9,1648000,1529000,693,2,27,Yes,Yes,No
C10038,30,Female,Karachi,4,1610000,1523000,609,2,19,No,Yes,No
C10039,30,Male,Rawalpindi,0,1426000,799000,466,3,27,Yes,Yes,No
C10040,46,Male,Peshawar,2,2070000,1056000,584,3,16,No,Yes,No
C10041,47,Male,Karachi,0,1710000,894000,687,3,31,Yes,No,Yes
C10042,45,Female,Lahore,5,2176000,1280000,596,3,9,No,No,No
C10043,32,Female,Karachi,5,1468000,1406000,487,4,32,Yes,Yes,No
C10044,42,Female,Lahore,4,1382000,1274000,703,2,23,Yes,Yes,No
C10045,40,Female,Peshawar,8,1368000,1272000,651,1,25,No,Yes,No
C10046,41,Female,Karachi,9,2306000,1960000,615,1,10,No,Yes,No
C10047,49,Male,Rawalpindi,5,1220000,1273000,594,2,21,Yes,Yes,No
C10048,41,Male,Islamabad,0,1840000,931000,638,1,5,No,No,Yes
C10049,46,Male,Karachi,7,2038000,2016000,589,1,19,Yes,No,No
C10050,40,Male,Faisalabad,7,2500000,1899000,672,4,22,Yes,Yes,No
C10051,42,Female,Karachi,6,1805000,1720000,637,1,20,Yes,Yes,No
C10052,46,Male,Karachi,8,2551000,1584000,637,4,17,Yes,Yes,No
C10053,23,Female,Peshawar,2,793000,790000,565,3,28,Yes,Yes,No
C10054,35,Female,Faisalabad,11,1899000,1509000,608,2,10,No,No,No
C10055,34,Male,Lahore,3,1832000,1048000,638,2,16,Yes,Yes,No
C10056,32,Female,Karachi,7,1373000,1154000,547,1,23,Yes,No,No
C10057,36,Female,Karachi,0,1933000,680000,481,2,12,Yes,No,No
C10058,55,Female,Karachi,3,2114000,1395000,650,1,22,Yes,No,No
C10059,29,Male,Lahore,9,1617000,1101000,634,3,23,Yes,Yes,Yes
C10060,50,Male,Lahore,4,2714000,1645000,638,1,24,No,Yes,No
C10061,20,Male,Peshawar,8,1303000,1232000,601,1,21,Yes,No,No
C10062,35,Male,Peshawar,6,2481000,1802000,578,2,14,Yes,No,No
C10063,41,Male,Faisalabad,5,1608000,1709000,645,2,13,No,Yes,No
C10064,45,Female,Peshawar,9,1682000,1471000,623,2,16,No,No,No
C10065,47,Female,Rawalpindi,5,1799000,963000,585,2,16,No,Yes,No
C10066,48,Male,Rawalpindi,0,2367000,928000,573,1,21,Yes,Yes,No
C10067,35,Male,Rawalpindi,3,1780000,955000,693,2,27,Yes,No,No
C10068,34,Male,Karachi,7,1706000,1322000,503,1,18,Yes,Yes,No
C10069,48,Male,Karachi,6,1828000,1296000,645,1,16,No,Yes,No
C10070,37,Female,Lahore,1,1919000,776000,484,1,23,Yes,No,No
C10071,25,Male,Rawalpindi,3,577000,623000,559,1,22,Yes,No,Yes
C10072,27,Male,Lahore,4,1709000,949000,549,1,16,Yes,No,Yes
C10073,29,Female,Lahore,4,2518000,1439000,462,2,16,No,Yes,No
C10074,44,Male,Karachi,1,2087000,1385000,610,1,1,No,No,No
C10075,41,Male,Karachi,3,2104000,1421000,571,1,16,Yes,Yes,No
C10076,47,Female,Lahore,3,1940000,1102000,487,2,19,No,Yes,No
C10077,34,Female,Faisalabad,7,903000,1359000,644,1,15,No,Yes,No
C10078,41,Female,Faisalabad,7,1746000,1116000,689,2,13,No,No,No
C10079,46,Female,Lahore,5,1710000,1511000,692,3,28,Yes,No,No
C10080,36,Male,Islamabad,4,1046000,1182000,608,2,13,Yes,No,No
C10081,44,Female,Lahore,6,2831000,1566000,613,3,19,No,Yes,No
C10082,32,Female,Faisalabad,3,1542000,1475000,650,1,23,Yes,Yes,Yes
C10083,35,Female,Faisalabad,2,1695000,1365000,670,1,18,Yes,Yes,No
C10084,35,Female,Islamabad,3,1441000,1427000,644,2,32,Yes,Yes,No
C10085,26,Female,Faisalabad,3,1066000,633000,515,3,32,Yes,Yes,No
C10086,44,Female,Islamabad,2,2373000,1462000,604,3,21,No,Yes,No
C10087,34,Male,Karachi,6,1614000,1276000,618,1,27,Yes,No,Yes
C10088,39,Female,Peshawar,7,2126000,906000,507,3,7,No,No,Yes
C10089,44,Male,Lahore,1,1851000,1008000,614,2,20,Yes,No,No
C10090,44,Female,Lahore,5,1929000,1353000,731,1,24,Yes,Yes,No
C10091,46,Female,Karachi,5,1578000,1130000,645,1,17,Yes,Yes,No
C10092,38,Female,Karachi,6,989000,1301000,682,4,24,No,Yes,No
C10093,34,Female,Peshawar,5,1483000,1170000,599,1,16,Yes,Yes,Yes
C10094,38,Male,Peshawar,1,1669000,1376000,574,3,31,Yes,Yes,No
C10095,20,Female,Islamabad,2,450000,892000,573,2,23,No,Yes,No
C10096,23,Female,Islamabad,5,1051000,779000,526,2,26,Yes,Yes,No
C10097,24,Male,Faisalabad,8,1241000,1284000,533,2,14,Yes,Yes,No
C10098,28,Male,Lahore,0,450000,825000,626,3,22,Yes,Yes,Yes
C10099,43,Male,Faisalabad,6,1676000,1599000,685,1,18,No,Yes,No
C10100,29,Female,Rawalpindi,9,1664000,1360000,544,1,22,Yes,Yes,No
C10101,35,Male,Islamabad,5,1804000,1345000,644,2,10,Yes,Yes,No
C10102,53,Female,Faisalabad,7,2090000,1066000,626,2,31,Yes,Yes,No
C10103,35,Male,Lahore,3,1638000,732000,601,1,23,Yes,Yes,No
C10104,47,Female,Karachi,5,2646000,1900000,637,1,18,Yes,Yes,No
C10105,29,Male,Karachi,1,1539000,990000,617,1,28,Yes,Yes,No
C10106,37,Female,Karachi,0,1522000,1249000,576,1,14,Yes,No,Yes
C10107,29,Male,Rawalpindi,8,1261000,1229000,672,1,19,Yes,Yes,No
C10108,35,Female,Rawalpindi,2,1272000,1017000,595,3,22,No,Yes,No
C10109,48,Female,Peshawar,4,2426000,892000,643,1,32,Yes,Yes,No
C10110,20,Female,Peshawar,1,863000,710000,502,4,38,Yes,Yes,No
C10111,44,Female,Karachi,1,2197000,1279000,707,4,24,No,Yes,No
C10112,42,Male,Islamabad,5,2032000,1715000,629,1,13,No,No,Yes
C10113,32,Male,Rawalpindi,3,1771000,1447000,616,2,22,No,Yes,No
C10114,23,Male,Peshawar,6,1140000,1190000,487,2,18,Yes,Yes,No
C10115,40,Male,Lahore,6,2246000,1172000,559,2,28,Yes,Yes,No
C10116,33,Female,Karachi,6,1946000,1234000,660,1,18,Yes,Yes,No
C10117,42,Female,Karachi,6,1674000,1438000,623,1,24,Yes,Yes,No
C10118,39,Female,Islamabad,10,1249000,1167000,515,1,21,Yes,Yes,No
C10119,57,Female,Rawalpindi,2,3240000,2005000,672,2,27,Yes,Yes,No
C10120,36,Female,Lahore,5,1797000,939000,563,4,25,Yes,No,No
C10121,28,Female,Faisalabad,8,690000,1260000,670,2,1,No,No,No
C10122,41,Male,Faisalabad,9,1769000,1787000,614,2,21,Yes,No,Yes
C10123,41,Male,Faisalabad,1,2113000,1392000,594,4,33,Yes,Yes,No
C10124,54,Female,Karachi,4,2401000,1539000,684,2,15,No,No,No
C10125,48,Female,Lahore,9,2190000,1481000,582,1,15,No,Yes,No
C10126,43,Male,Rawalpindi,7,2683000,1493000,559,3,36,Yes,Yes,No
C10127,55,Male,Faisalabad,6,2196000,2056000,619,2,14,No,No,No
C10128,26,Female,Karachi,5,874000,1304000,621,1,25,Yes,Yes,No
C10129,32,Male,Peshawar,4,1551000,1169000,508,2,25,Yes,No,No
C10130,29,Male,Lahore,6,1552000,1019000,494,3,17,No,No,No
C10131,35,Female,Faisalabad,4,1814000,1310000,632,1,17,Yes,Yes,No
C10132,24,Female,Islamabad,5,1496000,1548000,539,2,6,Yes,No,Yes
C10133,46,Male,Lahore,5,2252000,1263000,588,1,20,Yes,Yes,No
C10134,37,Female,Karachi,3,1873000,952000,483,1,21,Yes,No,Yes
C10135,23,Male,Islamabad,7,1026000,1043000,542,1,15,Yes,No,No
C10136,28,Female,Islamabad,13,1611000,1548000,615,2,29,Yes,Yes,No
C10137,42,Male,Islamabad,0,1847000,1098000,632,3,21,No,Yes,No
C10138,48,Female,Karachi,6,2390000,936000,575,1,22,No,Yes,No
C10139,61,Male,Faisalabad,3,3143000,1283000,717,1,21,Yes,Yes,No
C10140,70,Male,Islamabad,7,3624000,1501000,622,1,25,Yes,Yes,No
C10141,44,Female,Rawalpindi,5,2092000,1689000,569,1,20,Yes,No,No
C10142,28,Male,Faisalabad,7,1035000,1186000,673,2,33,Yes,Yes,No
C10143,18,Male,Lahore,8,958000,972000,587,2,10,Yes,No,No
C10144,42,Male,Lahore,6,2000000,1213000,577,2,15,No,Yes,No
C10145,30,Female,Faisalabad,8,1587000,1395000,587,2,29,Yes,Yes,No
C10146,34,Female,Faisalabad,0,2345000,1794000,641,2,33,Yes,Yes,No
C10147,32,Female,Karachi,10,1452000,1827000,689,1,19,Yes,No,No
C10148,37,Male,Faisalabad,6,1949000,1541000,554,1,21,Yes,Yes,No
C10149,51,Male,Islamabad,8,2963000,1546000,629,3,31,Yes,Yes,No
C10150,41,Male,Karachi,2,1865000,1043000,593,3,25,No,Yes,No
C10151,37,Female,Rawalpindi,3,2649000,974000,531,3,20,Yes,No,No
C10152,28,Female,Lahore,6,1181000,994000,581,3,29,Yes,Yes,No
C10153,21,Female,Rawalpindi,5,1105000,1085000,567,2,31,Yes,Yes,No
C10154,34,Female,Karachi,6,1293000,1071000,657,3,32,Yes,No,No
C10155,38,Male,Rawalpindi,8,1742000,1380000,676,2,24,Yes,No,Yes
C10156,58,Female,Karachi,0,2675000,971000,589,1,23,Yes,Yes,No
C10157,40,Male,Karachi,8,2341000,1270000,601,1,22,Yes,Yes,No
C10158,50,Male,Lahore,5,2495000,1710000,653,1,25,Yes,Yes,No
C10159,34,Male,Lahore,5,2122000,1387000,557,1,15,No,Yes,No
C10160,26,Male,Rawalpindi,1,1029000,900000,590,2,14,No,No,Yes
C10161,28,Male,Islamabad,7,1235000,1063000,583,2,12,No,Yes,No
C10162,31,Male,Islamabad,0,2410000,892000,508,3,27,No,Yes,No
C10163,62,Male,Lahore,7,3173000,1327000,593,2,11,No,Yes,No
C10164,30,Female,Lahore,1,959000,1156000,644,1,8,No,No,Yes
C10165,48,Male,Faisalabad,5,1973000,1624000,604,2,18,No,Yes,No
C10166,29,Male,Karachi,5,957000,1436000,671,2,24,No,No,Yes
C10167,49,Female,Peshawar,8,2811000,1838000,600,1,13,No,Yes,No
C10168,43,Female,Islamabad,5,1872000,1624000,621,1,7,No,No,No
C10169,37,Female,Rawalpindi,3,1720000,1504000,717,1,14,Yes,No,Yes
C10170,39,Male,Karachi,4,1771000,988000,535,1,24,No,Yes,Yes
C10171,32,Female,Karachi,9,1944000,911000,500,3,11,Yes,Yes,No
C10172,44,Male,Faisalabad,7,1787000,1416000,686,2,12,No,Yes,No
C10173,34,Male,Peshawar,4,1106000,1082000,539,2,40,Yes,Yes,No
C10174,26,Female,Faisalabad,5,1303000,1033000,575,1,19,No,Yes,No
C10175,25,Male,Lahore,1,1273000,934000,524,3,9,No,No,Yes
C10176,41,Female,Lahore,6,2104000,1473000,620,2,17,No,Yes,No
C10177,56,Female,Rawalpindi,0,2134000,867000,552,1,23,Yes,Yes,Yes
C10178,41,Female,Lahore,7,2284000,1382000,600,2,22,No,Yes,Yes
C10179,38,Male,Rawalpindi,6,1508000,1647000,625,2,28,No,Yes,No
C10180,42,Male,Karachi,12,2003000,1762000,579,2,15,No,No,No
C10181,53,Male,Karachi,2,2004000,946000,570,1,12,No,Yes,No
C10182,41,Male,Faisalabad,5,2475000,1104000,582,2,24,Yes,No,No
C10183,34,Female,Rawalpindi,10,2034000,1730000,533,1,13,Yes,No,Yes
C10184,51,Male,Islamabad,9,2803000,1743000,613,1,17,Yes,Yes,No
C10185,44,Female,Islamabad,3,2527000,1119000,604,1,6,No,Yes,No
C10186,56,Female,Karachi,6,3865000,2007000,609,4,21,Yes,Yes,No
C10187,41,Female,Karachi,5,1211000,1324000,586,1,5,No,No,No
C10188,26,Male,Lahore,6,934000,1312000,579,2,11,No,Yes,No
C10189,24,Male,Karachi,3,784000,724000,527,1,19,Yes,No,No
C10190,57,Female,Rawalpindi,5,2340000,1549000,666,3,15,Yes,No,Yes
C10191,58,Female,Faisalabad,1,2152000,1516000,691,2,1,No,No,No
C10192,37,Female,Karachi,6,1646000,1318000,573,3,14,No,Yes,No
C10193,35,Female,Karachi,6,1165000,343000,622,1,20,Yes,Yes,No
C10194,55,Female,Lahore,5,2742000,1857000,612,1,14,Yes,No,No
C10195,27,Male,Karachi,1,1139000,1340000,580,2,26,No,Yes,No
C10196,29,Female,Lahore,8,1660000,941000,680,2,16,Yes,No,No
C10197,46,Male,Karachi,6,2417000,2178000,642,3,25,No,Yes,No
C10198,35,Female,Rawalpindi,3,1824000,570000,484,3,27,Yes,Yes,No
C10199,39,Female,Islamabad,4,1641000,1153000,618,2,19,Yes,No,No
C10200,37,Male,Islamabad,1,2488000,1246000,644,4,25,Yes,Yes,No
C10201,43,Male,Lahore,2,2018000,1124000,579,2,24,Yes,Yes,No
C10202,54,Male,Peshawar,4,1736000,1697000,674,1,11,No,Yes,No
C10203,40,Female,Rawalpindi,9,1600000,1594000,580,2,19,No,Yes,No
C10204,46,Male,Lahore,3,1368000,1340000,519,1,9,No,No,Yes
C10205,18,Male,Peshawar,7,902000,1367000,579,3,22,Yes,Yes,No
C10206,38,Male,Karachi,4,1699000,1281000,495,1,28,Yes,Yes,No
C10207,30,Male,Karachi,6,1239000,1036000,574,1,25,Yes,Yes,No
C10208,26,Male,Peshawar,5,2054000,1473000,646,2,10,No,No,No
C10209,29,Male,Islamabad,8,1689000,1747000,489,1,23,Yes,Yes,No
C10210,35,Male,Lahore,4,1911000,1473000,516,1,10,No,No,No
C10211,49,Male,Karachi,1,1782000,911000,540,2,15,Yes,No,No
C10212,24,Male,Lahore,1,553000,467000,551,1,23,Yes,Yes,Yes
C10213,39,Male,Rawalpindi,4,1813000,1274000,573,2,16,Yes,No,No
C10214,34,Male,Lahore,2,1561000,1201000,653,1,12,Yes,No,Yes
C10215,35,Female,Islamabad,6,896000,1120000,648,1,6,No,Yes,Yes
C10216,50,Male,Lahore,4,2250000,1923000,639,1,20,Yes,Yes,Yes
C10217,45,Male,Karachi,12,2372000,1447000,648,3,25,Yes,No,No
C10218,54,Male,Lahore,0,2288000,1168000,622,4,13,No,No,Yes
C10219,37,Male,Islamabad,6,1430000,1110000,551,1,24,No,No,No
C10220,31,Male,Faisalabad,2,1117000,1076000,618,4,22,No,No,No
C10221,37,Male,Lahore,4,1628000,1169000,529,2,25,No,Yes,No
C10222,42,Female,Karachi,6,2050000,1012000,653,2,17,No,No,Yes
C10223,41,Male,Islamabad,0,2008000,1265000,644,2,23,No,No,No
C10224,27,Male,Lahore,6,1746000,1236000,593,2,13,No,Yes,No
C10225,40,Male,Lahore,11,1967000,1609000,617,3,13,Yes,Yes,No
C10226,42,Male,Karachi,4,1750000,1597000,620,2,15,No,Yes,No
C10227,67,Male,Lahore,6,3396000,1923000,493,2,23,Yes,No,Yes
C10228,60,Female,Faisalabad,8,3203000,2149000,664,1,16,No,Yes,No
C10229,30,Female,Peshawar,5,1219000,1233000,576,1,12,No,No,Yes
C10230,36,Male,Islamabad,4,1986000,1853000,585,2,32,Yes,Yes,No
C10231,23,Male,Islamabad,0,1301000,850000,587,1,17,No,Yes,No
C10232,33,Male,Islamabad,7,2158000,1353000,592,1,15,No,No,Yes
C10233,42,Male,Karachi,5,2724000,1064000,540,1,17,Yes,Yes,No
C10234,52,Female,Islamabad,2,1988000,1192000,599,1,4,No,No,No
C10235,31,Male,Faisalabad,6,1490000,1425000,592,2,26,No,Yes,Yes
C10236,32,Male,Rawalpindi,4,1467000,1216000,588,2,13,No,No,No
C10237,18,Female,Faisalabad,4,749000,994000,567,2,21,Yes,Yes,No
C10238,37,Male,Karachi,7,1534000,1128000,661,1,14,Yes,No,No
C10239,27,Male,Peshawar,1,493000,691000,500,2,9,No,No,No
C10240,33,Female,Islamabad,8,1689000,1680000,611,2,21,Yes,Yes,No
C10241,29,Male,Karachi,1,890000,817000,634,2,18,Yes,Yes,No
C10242,38,Male,Lahore,3,1751000,635000,492,2,16,Yes,Yes,No
C10243,20,Male,Peshawar,11,798000,1292000,602,2,24,Yes,Yes,No
C10244,23,Female,Karachi,8,708000,1119000,552,2,16,Yes,No,No
C10245,62,Male,Faisalabad,5,3035000,1538000,617,4,28,No,Yes,No
C10246,25,Male,Lahore,3,1154000,831000,515,2,26,Yes,Yes,No
C10247,27,Male,Peshawar,4,1465000,1558000,564,2,19,No,Yes,No
C10248,59,Male,Karachi,5,3711000,1702000,733,2,21,Yes,Yes,No
C10249,70,Female,Karachi,5,3437000,1459000,581,1,17,Yes,No,Yes
C10250,26,Male,Peshawar,5,1413000,717000,511,3,29,Yes,Yes,No
C10251,35,Female,Karachi,5,1188000,965000,519,1,21,Yes,No,No
C10252,43,Female,Karachi,5,1484000,1563000,700,1,17,Yes,No,No
C10253,58,Female,Karachi,1,3270000,1575000,587,4,35,Yes,Yes,No
C10254,28,Male,Islamabad,4,882000,983000,573,2,25,Yes,Yes,Yes
C10255,36,Female,Lahore,8,1356000,1221000,584,1,27,Yes,Yes,No
C10256,48,Female,Lahore,1,2109000,1786000,543,1,8,No,No,Yes
C10257,44,Male,Islamabad,5,2035000,976000,593,1,5,No,Yes,No
C10258,35,Female,Faisalabad,3,1192000,1016000,717,2,14,No,No,No
C10259,38,Female,Karachi,6,1692000,1444000,677,1,14,No,No,No
C10260,24,Male,Lahore,4,1594000,1320000,521,3,30,Yes,Yes,No
C10261,36,Female,Karachi,9,1490000,2054000,646,3,24,Yes,No,No
C10262,36,Male,Karachi,7,1174000,1204000,556,2,16,No,Yes,No
C10263,42,Female,Karachi,2,2268000,1020000,492,2,15,Yes,No,Yes
C10264,33,Female,Peshawar,7,1822000,1542000,653,1,25,Yes,Yes,Yes
C10265,44,Male,Peshawar,3,1742000,1145000,661,1,25,Yes,Yes,Yes
C10266,50,Female,Karachi,4,1661000,1126000,670,2,10,No,No,No
C10267,41,Male,Lahore,6,1651000,1291000,580,1,23,Yes,No,No
C10268,43,Female,Karachi,4,1967000,1322000,591,1,5,No,No,Yes
C10269,40,Female,Karachi,8,2476000,1935000,654,1,12,No,Yes,Yes
C10270,39,Male,Karachi,3,1328000,1064000,610,1,19,No,No,Yes
C10271,31,Male,Rawalpindi,3,1344000,1201000,554,2,22,No,Yes,No
C10272,42,Male,Karachi,3,2191000,1689000,505,2,23,Yes,Yes,No
C10273,38,Male,Lahore,4,750000,1020000,598,3,21,No,Yes,No
C10274,62,Male,Lahore,8,3476000,1828000,710,2,18,No,Yes,Yes
C10275,56,Male,Karachi,7,2222000,970000,570,3,5,No,Yes,No
C10276,43,Male,Islamabad,10,2339000,2195000,662,2,20,Yes,Yes,No
C10277,31,Male,Lahore,12,1798000,1152000,634,3,27,Yes,Yes,No
C10278,27,Female,Rawalpindi,2,1608000,1113000,605,2,11,No,No,No
C10279,52,Female,Karachi,5,2688000,1646000,668,1,12,No,No,No
C10280,42,Female,Lahore,2,874000,730000,551,3,26,No,Yes,Yes
C10281,44,Male,Karachi,3,1673000,1229000,508,1,9,No,No,Yes
C10282,20,Female,Rawalpindi,3,909000,989000,527,1,16,Yes,Yes,No
C10283,49,Female,Lahore,2,2126000,1043000,650,1,24,Yes,Yes,No
C10284,44,Male,Faisalabad,2,2169000,1778000,563,2,18,Yes,No,No
C10285,27,Male,Peshawar,5,1589000,1433000,539,2,24,Yes,Yes,No
C10286,34,Female,Karachi,2,1744000,1189000,476,2,16,No,Yes,No
C10287,42,Male,Rawalpindi,8,1992000,1863000,713,3,39,Yes,Yes,No
C10288,40,Male,Islamabad,3,1036000,1246000,636,1,3,No,Yes,No
C10289,36,Female,Peshawar,13,1778000,2526000,671,2,17,Yes,No,No
C10290,38,Male,Karachi,4,1925000,1465000,645,2,18,No,Yes,No
C10291,36,Male,Peshawar,5,1231000,1198000,624,3,16,No,Yes,No
C10292,41,Female,Karachi,2,2089000,865000,574,1,15,No,No,Yes
C10293,55,Female,Islamabad,10,3158000,2199000,638,1,27,Yes,Yes,Yes
C10294,18,Male,Islamabad,8,983000,1419000,552,2,12,No,No,No
C10295,36,Female,Rawalpindi,6,450000,866000,742,2,11,No,No,Yes
C10296,41,Female,Karachi,1,1252000,513000,614,3,14,No,No,Yes
C10297,42,Male,Islamabad,6,2804000,2032000,582,2,19,Yes,No,No
C10298,35,Female,Rawalpindi,2,1306000,1504000,603,3,26,Yes,Yes,No
C10299,20,Male,Faisalabad,9,450000,1124000,528,2,19,Yes,No,No
C10300,43,Male,Karachi,7,2614000,1597000,696,1,24,Yes,Yes,Yes
C10301,58,Female,Karachi,5,2751000,1546000,594,1,26,Yes,Yes,No
C10302,22,Male,Islamabad,0,1306000,1213000,574,1,11,Yes,No,No
C10303,49,Female,Faisalabad,2,2324000,1372000,660,1,17,Yes,Yes,No
C10304,35,Female,Lahore,7,1904000,901000,621,2,10,Yes,No,Yes
C10305,38,Male,Faisalabad,9,2077000,2148000,619,2,29,Yes,Yes,No
C10306,27,Female,Karachi,8,1655000,1235000,591,2,14,No,No,Yes
C10307,35,Male,Karachi,1,2458000,1597000,570,2,27,Yes,Yes,No
C10308,53,Female,Lahore,6,2948000,1926000,594,2,10,No,Yes,Yes
C10309,45,Male,Lahore,8,1562000,1591000,597,2,29,Yes,No,No
C10310,58,Female,Faisalabad,1,2793000,1376000,693,1,19,Yes,Yes,No
C10311,52,Female,Karachi,5,2936000,2032000,614,2,26,Yes,Yes,Yes
C10312,44,Male,Karachi,6,2613000,962000,568,2,17,No,No,No
C10313,58,Female,Peshawar,4,2531000,1532000,597,2,14,Yes,No,No
C10314,44,Female,Peshawar,0,2387000,968000,644,1,7,No,No,No
C10315,48,Female,Faisalabad,4,2620000,1726000,646,1,23,Yes,Yes,No
C10316,36,Female,Lahore,4,2734000,1910000,619,2,40,Yes,Yes,No
C10317,40,Female,Karachi,5,1566000,1123000,585,2,26,Yes,Yes,No
C10318,31,Male,Faisalabad,4,1201000,1216000,611,1,24,No,Yes,No
C10319,50,Male,Karachi,4,2197000,1791000,577,2,31,Yes,Yes,No
C10320,26,Male,Islamabad,5,1003000,771000,561,3,29,Yes,Yes,No
C10321,48,Female,Faisalabad,6,1926000,1297000,671,1,17,Yes,Yes,No
C10322,37,Male,Karachi,4,542000,844000,638,3,26,No,Yes,No
C10323,52,Male,Karachi,4,2239000,1687000,561,1,14,Yes,Yes,No
C10324,47,Male,Peshawar,5,2372000,1548000,564,2,26,No,Yes,No
C10325,59,Female,Karachi,0,2411000,636000,615,2,26,Yes,Yes,No
C10326,47,Male,Karachi,7,3100000,2833000,715,1,3,Yes,No,No
C10327,22,Female,Karachi,5,1023000,1054000,464,3,18,No,Yes,No
C10328,38,Male,Karachi,5,2327000,1320000,611,2,23,Yes,No,No
C10329,26,Female,Islamabad,8,1424000,1528000,514,4,28,Yes,Yes,Yes
C10330,33,Male,Faisalabad,0,1717000,860000,530,1,14,No,No,Yes
C10331,56,Male,Faisalabad,0,2591000,1184000,584,3,15,No,Yes,No
C10332,46,Female,Lahore,6,2779000,1725000,591,3,13,No,Yes,No
C10333,31,Female,Lahore,5,1472000,1221000,555,2,24,Yes,Yes,No
C10334,28,Male,Faisalabad,6,1548000,1367000,584,1,10,No,No,Yes
C10335,39,Male,Islamabad,4,1952000,1099000,564,2,18,Yes,No,No
C10336,26,Female,Karachi,7,1158000,1282000,504,2,24,No,Yes,Yes
C10337,32,Female,Karachi,8,1772000,1348000,642,3,15,No,Yes,No
C10338,42,Male,Rawalpindi,7,2985000,1824000,653,2,14,No,No,No
C10339,52,Male,Lahore,4,2308000,1876000,662,1,23,Yes,Yes,No
C10340,46,Female,Rawalpindi,0,2170000,1442000,502,1,14,Yes,Yes,No
C10341,18,Female,Karachi,7,1423000,1167000,588,2,12,Yes,No,Yes
C10342,42,Female,Karachi,9,2596000,1511000,658,4,29,Yes,Yes,No
C10343,40,Female,Islamabad,7,1956000,1651000,552,1,33,Yes,Yes,No
C10344,44,Male,Karachi,3,1002000,1174000,598,2,28,Yes,Yes,No
C10345,57,Female,Karachi,7,2984000,1952000,631,3,10,No,Yes,No
C10346,18,Female,Lahore,8,450000,1093000,677,1,5,Yes,Yes,No
C10347,32,Female,Islamabad,10,2289000,1247000,714,1,21,Yes,No,No
C10348,45,Male,Lahore,3,2122000,1211000,507,2,24,Yes,Yes,No
C10349,22,Male,Lahore,5,1437000,1243000,706,2,26,Yes,No,No
C10350,55,Female,Islamabad,7,2292000,1109000,584,1,12,Yes,No,No
